GrammyAward,GrammyYear,Genre,Name,Artist
Best Male R&B Vocal Performance,2004,R&B,Call My Name,Prince
Best R&B Performance By A Duo Or Group With Vocals,2004,R&B,My Boo,Usher& Alicia Keys
Best Urban/Alternative Performance,2004,R&B,Cross My Mind,Jill Scott
Best R&B Song,2004,R&B,you Don't Know My Name,Alicia Keys
Best Rap Solo Performance,2004,Rap,99 Problems,Jay-z
Best Rap Performance By A Duo Or Group,2004,Rap,Let's Get it Started,The Black Eyed Peas
Best Rap Song,2004,Rap,Jesus Walks,Kanye West
Best Female Country Vocal Performance,2004,Country,Redneck Woman,Gretchen Wilson
Best Male Country Vocal Performance,2004,Country,Live Like you Were Dying,Tim Mcgraw
Best Country Song,2004,Country,Live Like you Were Dying,Tim Mcgraw
Record Of The Year,2003,General,Clocks,Coldplay
Song Of The Year,2003,General,Dance with My Father,Luther Vandross
Best Female Pop Vocal Performance,2003,Pop,Beautiful,Christina Aguilera
Best Male Pop Vocal Performance,2003,Pop,Cry Me a River,Justin Timberlake
Best Pop Performance By A Duo Or Group With Vocal,2003,Pop,Underneath it all,No Doubt
Best Pop Collaboration With Vocals,2003,Pop,Whenever i Say your Name,StingÂ & Mary j Blige
Best Dance Recording,2003,Dance/Electronic Music,Come into My World,Kylie Minogue
Best Female Rock Vocal Performance,2003,Rock,Trouble,Pink
Best Male Rock Vocal Performance,2003,Rock,Gravedigger,Dave Matthews
Best Rock Performance By A Duo Or Group With Vocal,2003,Rock,Disorder in the House,Bruce Springsteen
Best Hard Rock Performance,2003,Rock,Bring Me to Life,Evanescence Featuring Paul Mccoy
Best Metal Performance,2003,Rock,St. Anger,Metallica
Best Rock Song,2003,Rock,Seven Nation Army,The White Stripes
Best Female R&B Vocal Performance,2003,R&B,Dangerously in Love 2,beyoncÃ©
Best Male R&B Vocal Performance,2003,R&B,Dance with My Father,Luther Vandross
Best R&B Performance By A Duo Or Group With Vocals,2003,R&B,The Closer i Get to you,beyoncÃ© & Luther Vandross
Best Urban/Alternative Performance,2003,R&B,Hey Ya!,Outkast
Best R&B Song,2003,R&B,Crazy in Love,
Best Female Rap Solo Performance,2003,Rap,Work it,Missy Elliott
Best Male Rap Solo Performance,2003,Rap,Lose Yourself,Eminem
Best Rap Performance By A Duo Or Group,2003,Rap,Shake Ya Tailfeather,"Nelly, p Diddy & Murphy Lee"
Best Rap Song,2003,Rap,Lose Yourself,Eminem
Best Female Country Vocal Performance,2003,Country,Keep on the Sunny Side,June Carter Cash
Best Male Country Vocal Performance,2003,Country,Next Big Thing,Vince Gill
Best Country Song,2003,Country,It's Five O'clock Somewhere,Alan Jackson & Jimmy Buffett
Record Of The Year,2002,General,Don't Know Why,Norah Jones
Song Of The Year,2002,General,Don't Know Why,Norah Jones
Best Female Pop Vocal Performance,2002,Pop,Don't Know Why,Norah Jones
Best Male Pop Vocal Performance,2002,Pop,your Body is a Wonderland,John Mayer
Best Pop Performance By A Duo Or Group With Vocal,2002,Pop,Hey Baby,No Doubt
Best Pop Collaboration With Vocals,2002,Pop,The Game of Love,Carlos santanaÂ & Michelle Branch
Best Dance Recording,2002,Dance/Electronic Music,Days Go by,Dirty Vegas
Best Female Rock Vocal Performance,2002,Rock,Steve Mcqueen,Sheryl Crow
Best Male Rock Vocal Performance,2002,Rock,The Rising,Bruce Springsteen
Best Rock Performance By A Duo Or Group With Vocal,2002,Rock,In My Place,Coldplay
Best Hard Rock Performance,2002,Rock,all My Life,Foo Fighters
Best Metal Performance,2002,Rock,Here to Stay,Korn
